"id","name","abv","ibu","target_fg","target_og","ebc","srm","ph","partition_0","partition_1","partition_2","partition_3"
"240","""Blitz Saison""","3.2","8","1007","1040.0","7.0","14.0","3.2","2021","02","10","06"
"111","""Vagabond Pilsner""","4.5","55","1012","1046.0","25.0","12.5","4.4","2021","02","10","10"
"115","""Melon And Cucumber IPA - B-Sides""","6.0","50","1010","1050.0","8.0","4.0","5.2","2021","02","10","08"
"21","""Vice Bier""","4.3","25","1010","1043.0","30.0","15.0","4.0","2021","02","10","02"
"97","""Bowman's Beard - B-Sides""","18.3","50","1011","1067.0","15.0","8.0","5.3","2021","02","10","12"
"244","""AB:21""","12.0","100","1015","1130.0","200.0","101.6","5.1","2021","02","10","03"
"239","""#Mashtag 2016""","10.5","100","1010","1090.0","15.0","8.0","4.4","2021","02","10","11"
"208","""Sunshine On Rye - B-Sides""","7.2","130","1010","1065.0","14.0","7.0","5.2","2021","02","10","04"
"201","""Waimea - IPA Is Dead""","6.7","70","1015","1066.0","30.0","15.0","4.4","2021","02","10","04"
"242","""Crew Brew""","8.0","100","1011","1072.0","28.0","14.2","5.2","2021","02","10","13"
"192","""Punk IPA 2007 - 2010""","6.0","60","1010","1056.0","17.0","8.5","4.4","2021","02","10","12"
"267","""AB:22""","12.5","70","1020","1115.0","100.0","51.0","4.1","2021","02","10","13"
"153","""Hoppy Saison - B-Sides""","6.4","40","1010","1059.0","8.0","4.0","5.2","2021","02","10","09"
"152","""Deaf Mermaid - B-Sides""","5.2","65","1010","1048.0","16.0","8.0","5.2","2021","02","10","13"
"166","""Vagabond Pale ALe - Prototype Challenge""","4.5","55","1011","1045.0","20.0","10.0","4.2","2021","02","10","07"
"219","""Ship Wreck""","13.8","60","1015","1088.0","25.0","13.0","4.4","2021","02","10","12"
"293","""I Wanna Be Your Dog""","12.0","55","1035","1125.0","600.0","305.0","4.1","2021","02","10","01"
"56","""Black Eyed King Imp""","9.5","85","1022","1095.0","250.0","125.0","4.4","2021","02","10","05"
"257","""Semi Skimmed Occultist""","8.0","70","1014","1080.0","160.0","81.28","4.1","2021","02","10","02"
"184","""Atlantic IPA Ale""","8.0","80","1013","1074.0","55.0","13.0","4.4","2021","02","10","11"
"275","""Sidewalk Shark""","5.2","22","1008","1055.0","7.0","4.0","3.8","2021","02","10","12"
"182","""All Day Long - Prototype Challenge""","2.8","30","1012","1032.5","42.0","21.0","4.4","2021","02","10","01"
"97","""Bowman's Beard - B-Sides""","18.3","50","1011","1067.0","15.0","8.0","5.3","2021","02","10","04"
"124","""Chaos Theory""","7.1","90","1013","1067.0","15.0","7.5","4.4","2021","02","10","11"
"141","""Cap Dog (w/ Cap Brewery)""","9.0","80","1014","1083.0","180.0","90.0","5.2","2021","02","10","06"
"135","""Growler""","4.5","38","1008","1042.9","18.0","9.0","4.4","2021","02","10","10"
"168","""Jack Hammer""","7.2","250","1010","1065.0","15.0","7.5","4.4","2021","02","10","11"
"91","""Dead Pony Club""","3.8","35","1012","1040.0","25.0","12.7","4.4","2021","02","10","04"
"292","""Hello My Name Is Maria""","8.2","70","1009","1070.0","15.0","8.0","4.4","2021","02","10","10"
"325","""Zipcode""","5.0","37","1006","1044.0","5.0","3.0","4.4","2021","02","10","10"
"275","""Sidewalk Shark""","5.2","22","1008","1055.0","7.0","4.0","3.8","2021","02","10","07"
"109","""Cocoa Psycho""","10.0","85","1012","1098.0","30.0","15.25","4.4","2021","02","10","09"
"301","""Small Batch: Dry-hopped Pilsner""","4.7","37","1006","1042.0","5.0","3.0","4.4","2021","02","10","08"
"174","""Konnichiwa Kitsune""","4.4","70","1012","1045.0","30.0","15.0","4.4","2021","02","10","02"
"167","""Libertine Black Ale""","7.2","50","1013","1068.0","150.0","76.0","4.4","2021","02","10","06"
"124","""Chaos Theory""","7.1","90","1013","1067.0","15.0","7.5","4.4","2021","02","10","03"
"163","""This. Is. Lager""","4.7","37","1007","1043.0","10.0","6.0","4.2","2021","02","10","03"
